Dates Flux Xpos Ypos
2456768.962217216 7567.158 59.743 447.061
2456768.982648807 7637.176 59.785 447.051
2456769.003080397 7663.792 59.787 447.059
2456769.023511988 7679.605 59.785 447.071
2456769.043943578 7679.821 59.797 447.055
2456769.064375169 7723.045 59.804 447.075
2456769.084806759 7775.996 59.814 447.084
2456769.105238449 7801.08 59.831 447.096
2456769.12567004 7817.635 59.837 447.104
2456769.14610153 7862.252 59.857 447.113
2456769.16653322 7885.264 59.856 447.125
2456769.18696471 7870.925 59.866 447.124
2456769.207396301 7886.431 59.866 447.129
2456769.227827991 7890.029 59.872 447.134
2456769.248259481 7873.131 59.87 447.132
2456769.268691071 7896.933 59.873 447.134
2456769.289122761 7910.563 59.89 447.146
2456769.309554251 7907.817 59.891 447.147
2456769.329985841 7931.3 59.9 447.167
2456769.350417531 7941.141 59.924 447.165
2456769.370849021 7954.845 59.936 447.188
2456769.391280711 7965.809 59.931 447.183
2456769.4117123 7963.621 59.932 447.189
2456769.43214379 7959.517 59.929 447.177
2456769.47300707 7903.058 59.859 447.151
2456769.493438659 7937.959 59.993 447.236
2456769.513870249 7959.63 59.975 447.263
2456769.534301839 7964.396 59.97 447.262
2456769.554733428 7970.996 59.982 447.264
2456769.575165118 7959.657 59.975 447.275
2456769.595596607 7932.019 60.006 447.279
2456769.616028297 7958.645 60.0 447.287
2456769.636459887 7959.075 60.002 447.291
2456769.656891376 7954.28 59.996 447.289
2456769.677323065 7950.006 60.003 447.301
2456769.697754655 7931.775 60.01 447.285
2456769.718186144 7917.406 60.013 447.291
2456769.738617833 7899.953 60.021 447.281
2456769.759049423 7872.84 60.041 447.308
2456769.779480912 7909.201 60.029 447.31
2456769.799912601 7901.621 60.028 447.299
2456769.82034419 7914.012 60.028 447.319
2456769.84077568 7860.46 60.047 447.31
2456769.861207369 7846.439 60.047 447.32
2456769.881638858 7864.196 60.046 447.322
2456769.902070547 7855.661 60.05 447.328
2456769.922502136 7868.521 60.044 447.324
2456769.942933625 7824.885 60.069 447.326
2456769.963365314 7781.237 60.071 447.338
2456769.983796903 7768.918 60.077 447.341
2456770.004228492 7759.794 60.083 447.346
