Dates Flux Xpos Ypos
2456768.962217216 21445.16 422.662 595.995
2456768.982648807 21528.23 422.752 595.945
2456769.003080397 21533.22 422.754 595.952
2456769.023511988 21516.91 422.752 595.963
2456769.043943578 21535.95 422.765 595.948
2456769.064375169 21547.92 422.772 595.965
2456769.084806759 21552.43 422.776 595.972
2456769.105238449 21574.38 422.794 595.98
2456769.12567004 21583.25 422.8 595.987
2456769.14610153 21596.81 422.822 595.992
2456769.16653322 21597.04 422.82 596.003
2456769.18696471 21595.19 422.831 595.999
2456769.207396301 21597.87 422.831 596.004
2456769.227827991 21605.72 422.837 596.007
2456769.248259481 21599.91 422.835 596.005
2456769.268691071 21591.8 422.838 596.006
2456769.289122761 21616.78 422.856 596.015
2456769.309554251 21601.42 422.856 596.016
2456769.329985841 21609.69 422.866 596.033
2456769.350417531 21612.61 422.891 596.027
2456769.370849021 21620.17 422.904 596.047
2456769.391280711 21616.58 422.899 596.042
2456769.4117123 21594.19 422.9 596.049
2456769.43214379 21594.62 422.896 596.038
2456769.47300707 21183.9 422.775 596.064
2456769.493438659 21491.91 422.916 596.123
2456769.513870249 21458.44 422.897 596.15
2456769.534301839 21452.88 422.892 596.149
2456769.554733428 21454.67 422.904 596.149
2456769.575165118 21437.23 422.898 596.161
2456769.595596607 21429.18 422.931 596.161
2456769.616028297 21425.31 422.925 596.169
2456769.636459887 22042.55 422.927 596.173
2456769.656891376 21404.52 422.921 596.17
2456769.677323065 21372.22 422.928 596.181
2456769.697754655 21378.87 422.936 596.167
2456769.718186144 21375.08 422.939 596.172
2456769.738617833 21386.55 422.947 596.162
2456769.759049423 21344.25 422.969 596.184
2456769.779480912 21344.4 422.957 596.187
2456769.799912601 21351.96 422.956 596.177
2456769.82034419 21319.39 422.955 596.195
2456769.84077568 21315.43 422.977 596.185
2456769.861207369 21308.0 422.976 596.195
2456769.881638858 21308.25 422.975 596.196
2456769.902070547 21289.15 422.979 596.201
2456769.922502136 21290.6 422.975 596.204
2456769.942933625 21279.23 423.0 596.197
2456769.963365314 21252.4 423.005 596.213
2456769.983796903 21269.61 423.011 596.215
2456770.004228492 21269.54 423.018 596.219
2456770.024660081 21237.24 423.016 596.228
2456770.04509167 21232.56 423.029 596.232
2456770.065523259 21238.38 423.043 596.228
2456770.085954848 21218.42 423.06 596.242
2456770.106386437 21196.47 423.057 596.254
2456770.126818025 21191.32 423.074 596.264
2456770.147249714 21194.21 423.101 596.259
2456770.167681203 21193.33 423.119 596.268
2456770.188112892 21158.77 423.116 596.281
2456770.208544481 21159.98 423.124 596.289
2456770.228975969 21152.63 423.128 596.29
2456770.249407658 21149.1 423.148 596.295
2456770.269839247 21146.38 423.158 596.311
2456770.290270735 21110.6 423.155 596.328
2456770.310702424 21130.47 423.185 596.322
2456770.331134012 21139.94 423.208 596.32
2456770.351565501 21115.22 423.21 596.342
2456770.37199719 21087.84 423.218 596.344
2456770.392428778 21104.43 423.224 596.354
2456770.412860367 21080.49 423.23 596.364
2456770.433291955 21069.99 422.701 596.01
2456770.453723543 21155.89 422.634 595.971
2456770.474155232 21147.75 422.645 595.991
2456770.494586721 21154.5 422.659 595.994
2456770.515018309 21234.68 422.744 595.938
2456770.535449897 21229.76 422.758 595.952
2456770.555881485 21246.6 422.762 595.962
2456770.576313074 21262.89 422.785 595.96
2456770.596744662 21253.75 422.779 595.972
2456770.617176251 21249.04 422.777 595.973
2456770.637607839 21257.29 422.783 595.969
2456770.658039527 21257.84 422.791 595.981
2456770.678471015 21285.49 422.811 595.989
2456770.698902604 21286.26 422.804 595.983
2456770.719334292 21279.52 422.802 595.984
2456770.73976578 21281.11 422.81 595.984
2456770.760197468 21272.99 422.811 595.994
2456770.780629057 21278.98 422.809 595.987
2456770.801060544 21264.97 422.814 595.987
2456770.821492233 21265.06 422.809 595.99
2456770.841923821 21240.81 422.792 595.982
2456770.862355309 21278.79 422.814 595.987
2456770.882786997 21270.91 422.803 595.982
2456770.903218585 21266.42 422.797 595.991
2456770.923650073 21248.98 422.798 595.98
2456770.944081761 21263.89 422.795 595.973
2456770.964513349 21265.51 422.794 595.978
2456770.984944937 21242.66 422.79 595.98
2456771.005376525 21255.94 422.794 595.982
2456771.025808113 21260.22 422.795 595.982
2456771.046239801 21271.31 422.81 595.992
2456771.066671289 21300.11 422.828 595.996
2456771.087102877 21329.67 422.854 596.016
2456771.107534565 21351.1 422.882 596.038
2456771.127966153 21338.89 422.901 596.043
2456771.148397641 21340.37 422.919 596.055
2456771.168829329 21366.13 422.915 596.054
2456771.189260917 21359.8 422.914 596.052
2456771.209692405 21371.96 422.913 596.049
2456771.230124092 21360.26 422.907 596.048
2456771.25055558 21369.98 422.897 596.046
2456771.270987168 21358.19 422.876 596.026
2456771.291418856 21367.28 422.862 596.023
2456771.311850344 21348.14 422.852 596.019
2456771.332282031 21346.26 422.845 596.009
2456771.352713619 21346.21 422.85 596.011
2456771.373145107 21366.46 422.843 596.012
2456771.393576795 21342.3 422.831 596.001
2456771.434439871 21155.8 422.587 595.915
2456771.454871558 21174.89 422.607 595.948
2456771.475303146 21181.15 422.61 595.948
2456771.495734734 21174.64 422.599 595.965
2456771.516166321 21182.41 422.609 595.97
2456771.536597909 21193.83 422.627 595.979
2456771.557029497 21205.87 422.648 595.974
2456771.577461084 21188.36 422.644 595.986
2456771.597892672 21194.22 422.625 595.982
2456771.61832436 21197.29 422.625 595.985
2456771.638755947 21198.73 422.613 595.953
2456771.659187435 21197.44 422.612 595.961
2456771.679619123 21212.46 422.626 595.941
2456771.700050711 21201.83 422.604 595.942
2456771.720482198 21187.03 422.578 595.947
2456771.740913886 21180.52 422.57 595.939
2456771.761345474 21192.69 422.568 595.951
2456771.781776961 21199.54 422.568 595.926
2456771.802208649 21198.62 422.574 595.927
2456771.822640236 21203.03 422.56 595.933
2456771.843071724 21204.42 422.561 595.926
2456771.863503412 21237.01 422.561 595.931
2456771.883934999 21203.31 422.556 595.927
2456771.904366587 21211.1 422.561 595.911
2456771.924798174 21212.33 422.539 595.916
2456771.945229762 21235.78 422.543 595.914
2456771.96566135 21228.49 422.531 595.917
2456771.986092937 21224.99 422.53 595.914
2456772.006524525 21229.72 422.525 595.893
2456772.026956113 21254.46 422.516 595.904
2456772.0473877 21239.82 422.503 595.893
2456772.067819288 21263.08 422.494 595.888
2456772.088250875 21270.07 422.486 595.882
2456772.108682463 21264.87 422.487 595.871
2456772.129114151 21267.41 422.474 595.863
2456772.149545638 21270.71 422.457 595.865
2456772.169977226 21260.18 422.437 595.852
2456772.190408913 21259.41 422.413 595.827
2456772.210840501 21266.45 422.395 595.821
2456772.231271989 21275.39 422.372 595.807
2456772.251703676 21288.04 422.374 595.804
2456772.272135264 21287.18 422.376 595.79
2456772.292566751 21277.32 422.363 595.788
2456772.312998439 21311.05 422.342 595.785
2456772.333430026 21315.31 422.323 595.759
2456772.353861514 21328.47 422.301 595.757
2456772.374293202 21350.51 422.291 595.725
2456772.394724789 21265.16 422.785 596.072
2456772.415156477 21549.14 422.897 596.041
2456772.435587964 21562.31 422.879 596.033
2456772.456019552 21532.26 422.856 596.02
2456772.47645124 21523.52 422.826 595.997
2456772.496882727 21496.75 422.815 595.991
2456772.517314315 21494.47 422.797 595.996
2456772.537746002 21505.77 422.806 595.974
2456772.55817749 21505.57 422.796 595.979
2456772.578609078 21487.55 422.781 595.975
2456772.599040765 21494.52 422.776 595.967
2456772.619472253 21484.4 422.757 595.945
2456772.639903841 21408.02 422.664 595.985
2456772.660335529 21392.14 422.639 595.982
2456772.680767016 21386.27 422.598 595.949
2456772.701198704 21380.31 422.565 595.932
2456772.721630292 21383.9 422.549 595.917
2456772.742061779 21373.17 422.539 595.926
2456772.762493467 21387.86 422.522 595.892
2456772.782925054 21398.31 422.488 595.888
2456772.803356542 21389.07 422.471 595.873
2456772.82378823 21388.89 422.443 595.841
2456772.844219817 21393.46 422.416 595.826
2456772.864651305 21408.72 422.365 595.8
2456772.885082993 21425.66 422.332 595.766
2456772.905514581 21445.7 422.312 595.759
2456772.925946068 21442.8 422.303 595.742
2456772.946377756 21431.68 422.272 595.725
2456772.966809344 21417.47 422.231 595.707
2456772.987241032 21409.74 422.223 595.688
2456773.007672519 21364.87 422.19 595.666
2456773.028104107 21343.19 422.145 595.645
2456773.048535795 21289.0 422.103 595.611
2456773.068967283 21292.28 422.082 595.604
2456773.089398871 21281.3 422.064 595.594
2456773.109830559 21247.71 422.034 595.57
2456773.130262146 21046.46 422.728 596.041
2456773.150693634 21631.23 422.89 596.028
2456773.171125322 21577.97 422.845 596.009
2456773.19155691 21538.91 422.787 595.97
2456773.211988498 21474.19 422.761 595.951
2456773.232420086 21397.95 422.642 595.984
2456773.252851673 21382.26 422.615 595.957
2456773.273283261 21356.46 422.578 595.939
2456773.293714849 21358.04 422.549 595.921
2456773.314146437 21345.79 422.515 595.901
2456773.334578025 21332.77 422.461 595.864
2456773.355009613 21318.48 422.413 595.83
2456773.395872789 21126.81 422.558 595.937
2456773.416304377 21336.12 422.642 596.001
2456773.436735865 21304.78 422.625 595.955
2456773.457167553 21300.64 422.611 595.953
2456773.477599142 21282.26 422.558 595.932
2456773.49803083 21266.52 422.536 595.919
2456773.518462318 21279.47 422.499 595.911
2456773.538893905 21264.34 422.5 595.89
2456773.559325594 21257.41 422.484 595.868
2456773.579757082 21259.97 422.465 595.86
2456773.60018867 21229.82 422.426 595.816
2456773.620620358 20987.0 422.724 596.026
2456773.641051946 21303.13 423.02 596.228
2456773.661483434 21323.65 422.996 596.206
2456773.681915123 21290.59 422.971 596.215
2456773.702346711 21328.89 422.968 596.181
2456773.722778199 21337.86 422.936 596.164
