Dates Flux Xpos Ypos
2456768.962217216 254651.1 275.011 496.318
2456768.982648807 255029.6 275.084 496.282
2456769.003080397 254996.9 275.087 496.289
2456769.023511988 254861.9 275.084 496.301
2456769.043943578 255061.5 275.097 496.285
2456769.064375169 254953.4 275.104 496.304
2456769.084806759 254872.1 275.11 496.311
2456769.105238449 254924.1 275.127 496.321
2456769.12567004 254859.7 275.134 496.328
2456769.14610153 254909.4 275.154 496.335
2456769.16653322 254854.3 275.153 496.346
2456769.18696471 254935.8 275.163 496.344
2456769.207396301 254965.8 275.163 496.349
2456769.227827991 255020.7 275.169 496.353
2456769.248259481 255006.0 275.167 496.351
2456769.268691071 255006.3 275.17 496.352
2456769.289122761 255064.8 275.187 496.362
2456769.309554251 255081.0 275.188 496.364
2456769.329985841 255105.5 275.197 496.382
2456769.350417531 255182.4 275.222 496.377
2456769.370849021 255236.4 275.234 496.398
2456769.391280711 255192.1 275.229 496.393
2456769.4117123 255227.9 275.23 496.4
2456769.43214379 255248.3 275.226 496.389
2456769.47300707 253839.8 275.124 496.396
2456769.493438659 255373.8 275.26 496.465
2456769.513870249 255404.5 275.242 496.492
2456769.534301839 255395.2 275.237 496.492
2456769.554733428 255439.2 275.249 496.492
2456769.575165118 255480.5 275.243 496.504
2456769.595596607 255598.4 275.274 496.505
2456769.616028297 255640.2 275.269 496.514
2456769.636459887 255682.8 275.27 496.517
2456769.656891376 255624.4 275.264 496.515
2456769.677323065 255753.8 275.271 496.526
2456769.697754655 255685.5 275.279 496.511
2456769.718186144 255716.0 275.282 496.517
2456769.738617833 255706.8 275.29 496.507
2456769.759049423 255921.0 275.311 496.531
2456769.779480912 255890.2 275.299 496.533
2456769.799912601 255812.4 275.298 496.523
2456769.82034419 255888.4 275.298 496.541
2456769.84077568 255957.4 275.318 496.532
2456769.861207369 255957.6 275.317 496.542
2456769.881638858 255984.3 275.316 496.543
2456769.902070547 256036.2 275.32 496.549
2456769.922502136 255998.4 275.315 496.549
2456769.942933625 256131.4 275.34 496.545
2456769.963365314 256181.6 275.344 496.56
2456769.983796903 256226.4 275.35 496.563
2456770.004228492 256306.6 275.357 496.567
2456770.024660081 256317.0 275.355 496.576
2456770.04509167 256426.1 275.367 496.581
2456770.065523259 256463.7 275.381 496.578
2456770.085954848 256581.0 275.397 496.595
2456770.106386437 256606.0 275.394 496.607
2456770.126818025 256655.9 275.41 496.617
2456770.147249714 256734.8 275.436 496.613
2456770.167681203 256764.0 275.454 496.624
2456770.188112892 256649.4 275.451 496.637
2456770.208544481 256620.7 275.459 496.646
2456770.228975969 256638.0 275.462 496.647
2456770.249407658 256617.1 275.481 496.654
2456770.269839247 256584.1 275.492 496.67
2456770.290270735 256471.5 275.488 496.686
2456770.310702424 256555.4 275.517 496.683
2456770.331134012 256617.1 275.539 496.682
2456770.351565501 256489.0 275.541 496.703
2456770.37199719 256508.3 275.549 496.705
2456770.392428778 256502.8 275.555 496.716
2456770.412860367 256436.5 275.56 496.726
2456770.433291955 254284.2 275.049 496.334
2456770.453723543 255289.7 274.985 496.291
2456770.474155232 255207.4 274.995 496.313
2456770.494586721 255205.9 275.009 496.316
2456770.515018309 255650.8 275.077 496.274
2456770.535449897 255552.5 275.091 496.29
2456770.555881485 255516.9 275.094 496.301
2456770.576313074 255598.7 275.116 496.298
2456770.596744662 255497.2 275.113 496.311
2456770.617176251 255506.5 275.111 496.312
2456770.637607839 255563.0 275.117 496.309
2456770.658039527 255489.6 275.125 496.322
2456770.678471015 255457.5 275.144 496.331
2456770.698902604 255513.1 275.138 496.325
2456770.719334292 255513.5 275.135 496.326
2456770.73976578 255564.7 275.143 496.326
2456770.760197468 255484.2 275.144 496.336
2456770.780629057 255585.5 275.142 496.329
2456770.801060544 255585.4 275.147 496.329
2456770.821492233 255565.3 275.142 496.332
2456770.841923821 255569.7 275.126 496.324
2456770.862355309 255598.0 275.147 496.329
2456770.882786997 255635.3 275.136 496.324
2456770.903218585 255645.5 275.13 496.333
2456770.923650073 255668.2 275.131 496.321
2456770.944081761 255743.1 275.129 496.314
2456770.964513349 255709.7 275.128 496.319
2456770.984944937 255775.9 275.124 496.321
2456771.005376525 255724.6 275.127 496.323
2456771.025808113 255768.9 275.128 496.323
2456771.046239801 255749.2 275.143 496.335
2456771.066671289 255835.9 275.16 496.34
2456771.087102877 255884.7 275.186 496.363
2456771.107534565 255989.0 275.213 496.387
2456771.127966153 256057.8 275.23 496.394
2456771.148397641 256171.8 275.25 496.407
2456771.168829329 256140.7 275.245 496.406
2456771.189260917 256129.4 275.245 496.404
2456771.209692405 256144.0 275.243 496.401
2456771.230124092 256149.6 275.237 496.399
2456771.25055558 256117.0 275.227 496.397
2456771.270987168 256040.3 275.206 496.375
2456771.291418856 256042.6 275.193 496.37
