Dates Flux Xpos Ypos
2456768.962217216 12295.14 11.173 455.815
2456768.982648807 12306.78 11.207 455.812
2456769.003080397 12115.09 11.209 455.821
2456769.023511988 12335.79 11.207 455.833
2456769.043943578 12302.42 11.219 455.817
2456769.064375169 12112.13 11.226 455.837
2456769.084806759 12348.55 11.236 455.846
2456769.105238449 12308.52 11.253 455.859
2456769.12567004 12071.93 11.26 455.867
2456769.14610153 12372.68 11.28 455.876
2456769.16653322 12260.82 11.279 455.888
2456769.18696471 12064.76 11.289 455.887
2456769.207396301 12385.12 11.289 455.893
2456769.227827991 12286.08 11.295 455.898
2456769.248259481 12047.57 11.293 455.896
2456769.268691071 12356.92 11.296 455.898
2456769.289122761 12242.0 11.313 455.91
2456769.309554251 12051.81 11.314 455.912
2456769.329985841 12341.3 11.323 455.932
2456769.350417531 12193.44 11.348 455.93
2456769.370849021 12086.15 11.36 455.954
2456769.391280711 12332.27 11.355 455.948
2456769.4117123 12163.16 11.356 455.955
2456769.43214379 12084.44 11.352 455.943
2456769.47300707 12119.01 11.291 455.908
2456769.493438659 12029.99 11.425 455.996
2456769.513870249 12373.15 11.407 456.023
2456769.534301839 12123.92 11.402 456.022
2456769.554733428 12030.05 11.414 456.024
2456769.575165118 12389.43 11.407 456.035
2456769.595596607 12131.1 11.438 456.039
2456769.616028297 12024.12 11.432 456.048
2456769.636459887 12372.94 11.434 456.052
2456769.656891376 12164.99 11.428 456.05
2456769.677323065 12036.69 11.435 456.062
2456769.697754655 12404.39 11.442 456.046
2456769.718186144 12143.23 11.445 456.052
2456769.738617833 12068.04 11.452 456.042
2456769.759049423 12432.17 11.472 456.07
2456769.779480912 12135.39 11.461 456.072
2456769.799912601 12074.72 11.46 456.061
2456769.82034419 12447.33 11.46 456.081
2456769.84077568 12138.89 11.479 456.072
2456769.861207369 12119.92 11.478 456.082
2456769.881638858 12458.12 11.477 456.084
2456769.902070547 12115.79 11.482 456.09
2456769.922502136 12083.69 11.475 456.086
2456769.942933625 12459.03 11.5 456.088
2456769.963365314 12081.61 11.502 456.099
2456769.983796903 12076.58 11.508 456.103
2456770.004228492 12473.62 11.514 456.108
2456770.024660081 12090.58 11.512 456.118
2456770.04509167 12091.4 11.524 456.125
2456770.065523259 12453.71 11.536 456.124
2456770.085954848 12114.92 11.551 456.144
2456770.106386437 12098.75 11.549 456.155
2456770.126818025 12462.14 11.564 456.168
2456770.147249714 12107.63 11.588 456.168
2456770.167681203 12123.05 11.605 456.181
2456770.188112892 12496.32 11.602 456.193
2456770.208544481 12095.72 11.61 456.203
2456770.228975969 12176.09 11.613 456.206
2456770.249407658 12546.72 11.631 456.215
2456770.269839247 12123.07 11.641 456.232
2456770.290270735 12203.89 11.637 456.247
2456770.310702424 12578.36 11.664 456.248
2456770.331134012 12162.2 11.685 456.249
2456770.351565501 12224.94 11.687 456.27
2456770.37199719 12620.08 11.694 456.273
2456770.392428778 12171.49 11.7 456.284
2456770.412860367 12187.19 11.704 456.294
2456770.433291955 12512.09 11.211 455.833
2456770.453723543 12090.59 11.147 455.781
2456770.474155232 12175.04 11.157 455.806
2456770.494586721 12527.79 11.171 455.812
2456770.515018309 12087.34 11.199 455.803
2456770.535449897 12178.78 11.213 455.821
2456770.555881485 12475.43 11.216 455.834
2456770.576313074 12075.93 11.238 455.832
2456770.596744662 12158.86 11.239 455.846
2456770.617176251 12514.38 11.237 455.847
2456770.637607839 12028.4 11.243 455.844
2456770.658039527 12193.05 11.251 455.859
2456770.678471015 12495.58 11.27 455.87
2456770.698902604 11980.54 11.264 455.864
2456770.719334292 12166.55 11.261 455.864
2456770.73976578 12469.61 11.269 455.865
2456770.760197468 12006.81 11.27 455.875
2456770.780629057 12118.29 11.268 455.868
2456770.801060544 12476.76 11.273 455.869
2456770.821492233 12023.72 11.268 455.871
2456770.841923821 12140.77 11.252 455.861
2456770.862355309 12498.73 11.274 455.869
2456770.882786997 12027.34 11.262 455.863
2456770.903218585 12173.31 11.256 455.872
2456770.923650073 12492.52 11.257 455.858
2456770.944081761 12041.45 11.254 455.851
2456770.964513349 12234.07 11.254 455.857
2456770.984944937 12435.56 11.25 455.858
2456771.005376525 12067.73 11.253 455.86
2456771.025808113 12200.91 11.254 455.861
2456771.046239801 12454.41 11.269 455.875
2456771.066671289 12048.83 11.286 455.883
2456771.087102877 12202.05 11.312 455.911
2456771.107534565 12452.34 11.339 455.938
2456771.127966153 12017.44 11.356 455.949
2456771.148397641 12213.4 11.377 455.966
2456771.168829329 12443.52 11.373 455.965
2456771.189260917 12024.56 11.372 455.962
2456771.209692405 12210.35 11.371 455.959
2456771.230124092 12421.43 11.363 455.955
2456771.25055558 12054.29 11.353 455.951
2456771.270987168 12204.21 11.333 455.925
2456771.291418856 12390.61 11.319 455.919
2456771.311850344 12032.13 11.31 455.912
2456771.332282031 12266.08 11.303 455.902
2456771.352713619 12354.63 11.308 455.903
2456771.373145107 12052.69 11.301 455.904
2456771.393576795 12264.48 11.289 455.889
2456771.434439871 11986.5 11.103 455.71
2456771.454871558 12223.97 11.121 455.75
2456771.475303146 12353.36 11.125 455.749
2456771.495734734 12052.42 11.114 455.767
2456771.516166321 12249.69 11.123 455.775
2456771.536597909 12335.06 11.14 455.788
2456771.557029497 12042.48 11.16 455.787
2456771.577461084 12244.81 11.156 455.799
2456771.597892672 12312.73 11.138 455.793
2456771.61832436 12071.06 11.138 455.795
2456771.638755947 12250.1 11.127 455.756
2456771.659187435 12297.5 11.126 455.765
2456771.679619123 12094.84 11.14 455.744
2456771.700050711 12328.0 11.119 455.742
2456771.720482198 12299.96 11.094 455.741
2456771.740913886 12076.36 11.087 455.73
2456771.761345474 12343.45 11.085 455.742
2456771.781776961 12297.85 11.085 455.716
2456771.802208649 12039.78 11.091 455.718
2456771.822640236 12387.26 11.077 455.72
2456771.843071724 12300.17 11.078 455.713
2456771.863503412 12060.41 11.079 455.719
2456771.883934999 12338.27 11.074 455.714
2456771.904366587 12262.03 11.078 455.696
2456771.924798174 12030.73 11.058 455.698
2456771.945229762 12287.04 11.061 455.695
2456771.96566135 12244.23 11.051 455.696
2456771.986092937 12034.17 11.05 455.693
2456772.006524525 12291.2 11.045 455.668
