Dates Flux Xpos Ypos
2456768.962217216 4783.213 544.309 10.753
2456768.982648807 4756.543 544.459 10.648
2456769.003080397 4762.015 544.461 10.654
2456769.023511988 4760.271 544.459 10.666
2456769.043943578 4774.084 544.469 10.65
2456769.064375169 4750.139 544.474 10.667
2456769.084806759 4767.718 544.477 10.674
2456769.105238449 4763.748 544.491 10.681
2456769.12567004 4772.75 544.495 10.688
2456769.14610153 4767.425 544.511 10.694
2456769.16653322 4746.945 544.509 10.704
2456769.18696471 4749.614 544.518 10.699
2456769.207396301 4741.93 544.518 10.704
2456769.227827991 4765.275 544.523 10.707
2456769.248259481 4745.592 544.52 10.705
2456769.268691071 4763.988 544.523 10.706
2456769.289122761 4752.21 544.537 10.714
2456769.309554251 4756.018 544.537 10.715
2456769.329985841 4757.594 544.544 10.731
2456769.350417531 4760.14 544.564 10.721
2456769.370849021 4763.868 544.573 10.739
2456769.391280711 4764.765 544.569 10.736
2456769.4117123 4786.729 544.569 10.742
2456769.43214379 4766.543 544.567 10.732
2456769.47300707 4712.147 544.392 10.822
2456769.493438659 4765.996 544.514 10.863
2456769.513870249 4756.325 544.494 10.895
2456769.534301839 4788.914 544.489 10.896
2456769.554733428 4775.024 544.5 10.893
2456769.575165118 4762.513 544.494 10.907
2456769.595596607 4777.095 544.524 10.902
2456769.616028297 4768.169 544.518 10.912
2456769.636459887 4760.709 544.518 10.915
2456769.656891376 4773.258 544.513 10.913
2456769.677323065 4787.15 544.519 10.924
2456769.697754655 4780.941 544.527 10.907
2456769.718186144 4769.687 544.53 10.913
2456769.738617833 4783.115 544.538 10.9
2456769.759049423 4786.333 544.559 10.921
2456769.779480912 4757.231 544.545 10.926
2456769.799912601 4778.402 544.544 10.916
2456769.82034419 4762.884 544.544 10.934
2456769.84077568 4779.146 544.565 10.92
2456769.861207369 4776.113 544.564 10.93
2456769.881638858 4786.238 544.562 10.932
2456769.902070547 4787.771 544.566 10.936
2456769.922502136 4784.471 544.564 10.948
2456769.942933625 4787.998 544.587 10.929
2456769.963365314 4775.854 544.593 10.953
2456769.983796903 4795.927 544.599 10.954
2456770.004228492 4795.11 544.606 10.956
2456770.024660081 4793.605 544.602 10.968
2456770.04509167 4804.318 544.616 10.969
2456770.065523259 4805.39 544.63 10.963
2456770.085954848 4817.207 544.646 10.976
2456770.106386437 4803.275 544.641 10.989
2456770.126818025 4806.371 544.658 10.996
2456770.147249714 4832.682 544.687 10.987
2456770.167681203 4821.299 544.705 10.993
2456770.188112892 4837.211 544.7 11.008
2456770.208544481 4830.423 544.708 11.015
2456770.228975969 4835.897 544.711 11.015
2456770.249407658 4849.127 544.732 11.018
2456770.269839247 4839.152 544.742 11.033
2456770.290270735 4854.187 544.736 11.052
2456770.310702424 4847.772 544.769 11.042
2456770.331134012 4858.446 544.794 11.036
2456770.351565501 4841.784 544.794 11.058
2456770.37199719 4856.196 544.803 11.059
2456770.392428778 4856.604 544.808 11.069
2456770.412860367 4873.118 544.814 11.078
2456770.433291955 4807.479 544.347 10.77
2456770.453723543 4828.065 544.289 10.734
2456770.474155232 4828.764 544.296 10.752
2456770.494586721 4830.655 544.308 10.753
2456770.515018309 4822.467 544.454 10.641
2456770.535449897 4846.073 544.465 10.654
2456770.555881485 4818.983 544.466 10.664
2456770.576313074 4834.869 544.485 10.662
2456770.596744662 4825.633 544.48 10.674
2456770.617176251 4854.69 544.478 10.675
2456770.637607839 4832.24 544.483 10.672
2456770.658039527 4843.614 544.489 10.684
2456770.678471015 4837.944 544.504 10.692
2456770.698902604 4854.733 544.498 10.685
2456770.719334292 4846.613 544.497 10.687
2456770.73976578 4849.258 544.503 10.686
2456770.760197468 4857.707 544.503 10.697
2456770.780629057 4849.116 544.502 10.689
2456770.801060544 4863.67 544.506 10.689
2456770.821492233 4863.253 544.502 10.692
2456770.841923821 4870.934 544.489 10.683
2456770.862355309 4860.744 544.507 10.687
2456770.882786997 4857.84 544.498 10.683
2456770.903218585 4881.813 544.492 10.693
2456770.923650073 4884.487 544.494 10.682
2456770.944081761 4866.032 544.492 10.675
2456770.964513349 4893.854 544.492 10.679
2456770.984944937 4874.515 544.488 10.68
2456771.005376525 4872.8 544.491 10.683
2456771.025808113 4872.569 544.491 10.682
2456771.046239801 4888.757 544.503 10.693
2456771.066671289 4889.246 544.516 10.696
2456771.087102877 4885.301 544.535 10.715
2456771.107534565 4892.77 544.557 10.734
2456771.127966153 4883.555 544.57 10.736
2456771.148397641 4876.041 544.585 10.744
2456771.168829329 4880.43 544.581 10.744
2456771.189260917 4889.554 544.581 10.742
2456771.209692405 4880.841 544.58 10.74
2456771.230124092 4895.795 544.575 10.741
2456771.25055558 4893.144 544.567 10.741
2456771.270987168 4890.66 544.551 10.724
2456771.291418856 4895.773 544.541 10.722
2456771.311850344 4886.533 544.534 10.719
2456771.332282031 4906.714 544.528 10.709
2456771.352713619 4885.873 544.533 10.711
2456771.373145107 4895.319 544.526 10.713
2456771.393576795 4925.051 544.518 10.701
2456771.434439871 4904.825 544.254 10.684
2456771.454871558 4911.649 544.269 10.713
2456771.475303146 4910.088 544.273 10.714
2456771.495734734 4917.103 544.262 10.733
2456771.516166321 4916.601 544.269 10.737
2456771.536597909 4912.349 544.282 10.743
2456771.557029497 4921.151 544.3 10.734
2456771.577461084 4916.728 544.296 10.747
2456771.597892672 4906.785 544.281 10.747
2456771.61832436 4932.96 544.281 10.749
2456771.638755947 4915.801 544.273 10.718
2456771.659187435 4914.849 544.273 10.726
2456771.679619123 4909.023 544.285 10.704
2456771.700050711 4925.663 544.267 10.709
2456771.720482198 4919.965 544.247 10.719
2456771.740913886 4924.678 544.241 10.713
2456771.761345474 4918.092 544.239 10.726
2456771.781776961 4929.825 544.238 10.7
2456771.802208649 4915.847 544.245 10.699
2456771.822640236 4929.649 544.232 10.709
2456771.843071724 4927.149 544.234 10.702
2456771.863503412 4912.439 544.234 10.706
2456771.883934999 4941.829 544.23 10.704
2456771.904366587 4923.575 544.235 10.686
2456771.924798174 4917.704 544.216 10.696
2456771.945229762 4920.964 544.22 10.693
2456771.96566135 4923.295 544.211 10.699
2456771.986092937 4914.299 544.21 10.696
2456772.006524525 4935.289 544.207 10.675
2456772.026956113 4941.246 544.199 10.688
2456772.0473877 4911.687 544.188 10.681
2456772.067819288 4921.44 544.181 10.677
2456772.088250875 4932.264 544.176 10.672
2456772.108682463 4929.416 544.177 10.661
2456772.129114151 4932.27 544.166 10.656
2456772.149545638 4931.755 544.153 10.661
2456772.169977226 4935.477 544.136 10.652
2456772.190408913 4914.626 544.117 10.63
2456772.210840501 4915.833 544.103 10.627
2456772.231271989 4918.955 544.083 10.624
2456772.251703676 4918.368 544.086 10.62
2456772.272135264 4949.44 544.09 10.597
2456772.292566751 4926.073 544.079 10.604
2456772.312998439 4936.233 544.059 10.604
2456772.333430026 4938.686 544.042 10.578
2456772.353861514 4892.571 544.023 10.578
2456772.374293202 4906.732 544.016 10.545
2456772.394724789 4875.769 544.402 10.829
2456772.415156477 4920.074 544.567 10.733
2456772.435587964 4904.248 544.554 10.728
2456772.456019552 4917.242 544.537 10.718
2456772.47645124 4916.336 544.514 10.697
2456772.496882727 4939.89 544.507 10.692
2456772.517314315 4926.446 544.492 10.698
2456772.537746002 4926.2 544.501 10.673
2456772.55817749 4952.298 544.493 10.679
2456772.578609078 4933.628 544.481 10.676
2456772.599040765 4931.78 544.478 10.668
2456772.619472253 4945.918 544.464 10.647
2456772.639903841 4942.035 544.314 10.743
2456772.660335529 4941.744 544.293 10.744
2456772.680767016 4931.808 544.262 10.717
2456772.701198704 4942.507 544.237 10.708
2456772.721630292 4943.455 544.224 10.695
2456772.742061779 4935.835 544.218 10.707
2456772.762493467 4933.737 544.204 10.675
2456772.782925054 4925.219 544.176 10.679
2456772.803356542 4948.731 544.164 10.666
2456772.82378823 4921.924 544.142 10.639
2456772.844219817 4919.35 544.121 10.628
2456772.864651305 4920.087 544.08 10.617
2456772.885082993 4931.574 544.052 10.585
2456772.905514581 4902.744 544.033 10.58
2456772.925946068 4899.964 544.026 10.562
2456772.946377756 4920.249 543.998 10.547
2456772.966809344 4924.992 543.96 10.53
2456772.987241032 4938.032 543.955 10.51
2456773.007672519 4920.442 543.923 10.486
2456773.028104107 4920.425 543.881 10.465
2456773.048535795 4918.207 543.842 10.43
2456773.068967283 4960.234 543.822 10.425
2456773.089398871 4944.909 543.805 10.414
2456773.109830559 4941.296 543.776 10.391
2456773.130262146 4872.851 544.351 10.799
2456773.150693634 4911.795 544.563 10.72
2456773.171125322 4916.262 544.529 10.707
2456773.19155691 4935.323 544.485 10.67
2456773.211988498 4937.917 544.468 10.651
2456773.232420086 4940.73 544.295 10.743
2456773.252851673 4926.991 544.276 10.721
2456773.273283261 4918.526 544.247 10.709
2456773.293714849 4930.979 544.226 10.698
2456773.314146437 4939.424 544.198 10.686
2456773.334578025 4939.372 544.158 10.66
2456773.355009613 4905.292 544.118 10.635
2456773.395872789 4924.949 544.221 10.706
2456773.416304377 4928.96 544.295 10.762
