Dates Flux Xpos Ypos
2456768.962217216 16043.52 374.489 747.066
2456768.982648807 16074.28 374.56 747.032
2456769.003080397 16094.45 374.563 747.04
2456769.023511988 16064.32 374.561 747.05
2456769.043943578 16045.64 374.574 747.035
2456769.064375169 16055.89 374.583 747.052
2456769.084806759 16054.26 374.587 747.059
2456769.105238449 16073.14 374.606 747.068
2456769.12567004 16066.77 374.613 747.075
2456769.14610153 16055.57 374.636 747.08
2456769.16653322 16043.49 374.634 747.091
2456769.18696471 16061.11 374.646 747.087
2456769.207396301 16068.42 374.645 747.092
2456769.227827991 16108.91 374.652 747.096
2456769.248259481 16088.92 374.65 747.094
2456769.268691071 16073.08 374.653 747.095
2456769.289122761 16080.92 374.672 747.104
2456769.309554251 16077.37 374.673 747.105
2456769.329985841 16059.82 374.683 747.123
2456769.350417531 16117.25 374.71 747.118
2456769.370849021 16127.08 374.723 747.138
2456769.391280711 16096.31 374.718 747.133
2456769.4117123 16061.5 374.719 747.14
2456769.43214379 16121.15 374.715 747.129
2456769.47300707 15829.92 374.61 747.135
2456769.493438659 16117.56 374.756 747.201
2456769.513870249 16126.32 374.737 747.226
2456769.534301839 16133.61 374.732 747.225
2456769.554733428 16122.71 374.745 747.226
2456769.575165118 16118.83 374.739 747.237
2456769.595596607 16120.14 374.773 747.238
2456769.616028297 16123.01 374.767 747.246
2456769.636459887 16130.83 374.769 747.249
2456769.656891376 16113.35 374.763 747.247
2456769.677323065 16106.52 374.77 747.258
2456769.697754655 16122.67 374.778 747.244
2456769.718186144 16106.08 374.781 747.249
2456769.738617833 16146.89 374.789 747.24
2456769.759049423 16091.08 374.811 747.263
2456769.779480912 16095.51 374.799 747.265
2456769.799912601 16103.04 374.798 747.255
2456769.82034419 16111.43 374.798 747.272
2456769.84077568 16125.72 374.819 747.264
2456769.861207369 16067.2 374.818 747.274
2456769.881638858 16042.75 374.818 747.274
2456769.902070547 16087.43 374.822 747.28
2456769.922502136 16112.17 374.817 747.28
2456769.942933625 16107.36 374.843 747.277
2456769.963365314 16074.97 374.847 747.29
2456769.983796903 16071.97 374.854 747.293
2456770.004228492 16044.29 374.861 747.297
2456770.024660081 16049.26 374.859 747.306
2456770.04509167 16047.64 374.872 747.31
2456770.065523259 16070.53 374.886 747.307
2456770.085954848 16065.19 374.903 747.322
2456770.106386437 16034.94 374.9 747.334
2456770.126818025 16031.7 374.917 747.345
2456770.147249714 16055.94 374.943 747.34
2456770.167681203 16041.96 374.962 747.351
2456770.188112892 16047.46 374.959 747.363
2456770.208544481 16026.55 374.967 747.372
2456770.228975969 16040.57 374.971 747.373
2456770.249407658 15815.42 374.991 747.379
2456770.269839247 15410.37 375.001 747.395
2456770.290270735 14823.25 374.998 747.411
2456770.310702424 14180.68 375.027 747.407
2456770.331134012 13437.61 375.05 747.406
2456770.351565501 12646.55 375.053 747.427
2456770.37199719 11941.5 375.061 747.43
2456770.392428778 11151.32 375.067 747.44
