Dates Flux Xpos Ypos
2456768.962217216 100825.8 397.9 589.572
2456768.982648807 100749.0 397.986 589.524
2456769.003080397 100737.5 397.989 589.532
2456769.023511988 100727.2 397.987 589.543
2456769.043943578 100776.9 397.999 589.527
2456769.064375169 100746.1 398.007 589.545
2456769.084806759 100726.0 398.011 589.552
2456769.105238449 100753.3 398.029 589.56
2456769.12567004 100771.6 398.036 589.567
2456769.14610153 100801.8 398.057 589.573
2456769.16653322 100769.0 398.055 589.583
2456769.18696471 100798.1 398.066 589.58
2456769.207396301 100798.8 398.066 589.585
2456769.227827991 100842.5 398.072 589.588
2456769.248259481 100813.0 398.07 589.586
2456769.268691071 100830.1 398.073 589.587
2456769.289122761 100828.5 398.091 589.596
2456769.309554251 100847.6 398.091 589.598
2456769.329985841 100860.4 398.101 589.615
2456769.350417531 100868.4 398.126 589.609
2456769.370849021 100894.1 398.139 589.629
2456769.391280711 100883.8 398.134 589.624
2456769.4117123 100912.6 398.135 589.63
2456769.43214379 100909.5 398.131 589.62
2456769.47300707 100260.8 398.014 589.642
2456769.493438659 101126.8 398.154 589.703
2456769.513870249 101225.7 398.135 589.73
2456769.534301839 101228.8 398.13 589.729
2456769.554733428 101236.5 398.143 589.729
2456769.575165118 101264.5 398.137 589.741
2456769.595596607 101327.9 398.169 589.741
2456769.616028297 101345.6 398.164 589.75
2456769.636459887 101383.0 398.165 589.753
2456769.656891376 101361.5 398.159 589.75
2456769.677323065 101407.4 398.166 589.762
2456769.697754655 101365.8 398.174 589.747
2456769.718186144 101371.7 398.177 589.752
2456769.738617833 101355.7 398.185 589.742
2456769.759049423 101380.7 398.207 589.765
2456769.779480912 101349.7 398.195 589.768
2456769.799912601 101355.0 398.194 589.758
2456769.82034419 101388.1 398.194 589.775
2456769.84077568 101350.8 398.215 589.766
2456769.861207369 101354.4 398.214 589.775
2456769.881638858 101343.1 398.213 589.776
2456769.902070547 101367.0 398.217 589.781
2456769.922502136 101406.8 398.213 589.784
2456769.942933625 101332.5 398.238 589.778
2456769.963365314 101355.9 398.243 589.793
2456769.983796903 101363.7 398.249 589.796
2456770.004228492 101358.4 398.256 589.799
2456770.024660081 101358.7 398.254 589.809
2456770.04509167 101334.2 398.267 589.813
2456770.065523259 101308.8 398.281 589.809
2456770.085954848 101237.8 398.297 589.824
2456770.106386437 101224.6 398.294 589.836
2456770.126818025 101104.9 398.311 589.846
2456770.147249714 101097.0 398.338 589.841
2456770.167681203 101089.9 398.356 589.85
2456770.188112892 101042.2 398.353 589.863
2456770.208544481 101020.9 398.361 589.872
2456770.228975969 101047.6 398.365 589.872
2456770.249407658 101026.1 398.385 589.878
2456770.269839247 101038.3 398.395 589.893
2456770.290270735 100966.2 398.392 589.911
2456770.310702424 101000.6 398.421 589.905
2456770.331134012 100984.9 398.444 589.904
2456770.351565501 100957.0 398.446 589.925
2456770.37199719 100958.8 398.455 589.927
2456770.392428778 100970.3 398.461 589.937
2456770.412860367 100959.9 398.467 589.947
2456770.433291955 100778.4 397.939 589.587
2456770.453723543 101161.2 397.873 589.547
2456770.474155232 101150.0 397.883 589.567
2456770.494586721 101113.0 397.898 589.57
2456770.515018309 101046.4 397.979 589.518
2456770.535449897 101059.2 397.993 589.532
2456770.555881485 101055.3 397.997 589.542
2456770.576313074 101088.0 398.02 589.54
2456770.596744662 101072.1 398.014 589.552
2456770.617176251 101073.8 398.012 589.553
2456770.637607839 101081.5 398.018 589.549
2456770.658039527 101088.6 398.026 589.562
2456770.678471015 101111.5 398.046 589.569
2456770.698902604 101108.6 398.04 589.564
2456770.719334292 101119.3 398.037 589.565
2456770.73976578 101097.6 398.045 589.565
2456770.760197468 101119.0 398.046 589.575
2456770.780629057 101114.3 398.044 589.568
2456770.801060544 101126.4 398.049 589.568
2456770.821492233 101132.6 398.044 589.57
2456770.841923821 101120.7 398.028 589.563
2456770.862355309 101128.8 398.05 589.567
2456770.882786997 101154.9 398.038 589.563
2456770.903218585 101161.8 398.032 589.572
2456770.923650073 101143.9 398.033 589.561
2456770.944081761 101162.2 398.03 589.554
2456770.964513349 101182.9 398.03 589.559
2456770.984944937 101168.4 398.025 589.56
2456771.005376525 101194.5 398.029 589.562
2456771.025808113 101201.5 398.03 589.562
2456771.046239801 101194.5 398.046 589.573
2456771.066671289 101225.5 398.063 589.577
2456771.087102877 101238.1 398.089 589.598
2456771.107534565 101267.4 398.117 589.619
2456771.127966153 101303.1 398.136 589.625
2456771.148397641 101332.6 398.154 589.637
2456771.168829329 101315.0 398.15 589.636
2456771.189260917 101307.9 398.149 589.634
2456771.209692405 101310.6 398.148 589.632
2456771.230124092 101318.4 398.142 589.63
2456771.25055558 101313.9 398.132 589.628
2456771.270987168 101300.4 398.111 589.608
2456771.291418856 101294.4 398.097 589.604
2456771.311850344 101261.1 398.087 589.6
2456771.332282031 101310.7 398.08 589.59
2456771.352713619 101288.9 398.085 589.592
2456771.373145107 101315.1 398.078 589.593
2456771.393576795 101293.8 398.066 589.582
2456771.434439871 101434.3 397.826 589.49
2456771.454871558 101449.0 397.845 589.524
2456771.475303146 101489.0 397.849 589.523
2456771.495734734 101486.8 397.838 589.54
2456771.516166321 101457.5 397.847 589.546
2456771.536597909 101460.8 397.865 589.555
2456771.557029497 101449.6 397.886 589.55
2456771.577461084 101451.8 397.882 589.562
2456771.597892672 101471.9 397.864 589.558
2456771.61832436 101476.1 397.863 589.561
2456771.638755947 101517.1 397.852 589.528
2456771.659187435 101516.2 397.851 589.536
2456771.679619123 101518.5 397.864 589.516
2456771.700050711 101554.8 397.842 589.518
2456771.720482198 101571.7 397.817 589.522
2456771.740913886 101590.6 397.809 589.514
2456771.761345474 101586.4 397.807 589.526
2456771.781776961 101589.8 397.806 589.501
2456771.802208649 101582.6 397.813 589.502
2456771.822640236 101588.0 397.798 589.508
2456771.843071724 101589.2 397.799 589.5
2456771.863503412 101625.1 397.8 589.505
2456771.883934999 101630.5 397.794 589.502
2456771.904366587 101663.3 397.8 589.486
2456771.924798174 101632.3 397.778 589.49
2456771.945229762 101673.1 397.782 589.488
2456771.96566135 101670.5 397.77 589.491
2456771.986092937 101683.9 397.769 589.489
2456772.006524525 101666.4 397.764 589.467
2456772.026956113 101730.5 397.755 589.478
2456772.0473877 101684.0 397.742 589.467
2456772.067819288 101696.6 397.733 589.461
2456772.088250875 101735.0 397.725 589.455
2456772.108682463 101719.5 397.726 589.444
2456772.129114151 101709.9 397.712 589.436
2456772.149545638 101735.1 397.696 589.438
2456772.169977226 101763.1 397.676 589.425
2456772.190408913 101767.2 397.652 589.4
2456772.210840501 101805.7 397.634 589.393
2456772.231271989 101757.6 397.611 589.379
2456772.251703676 101772.2 397.613 589.375
2456772.272135264 101791.6 397.616 589.362
2456772.292566751 101761.0 397.602 589.359
2456772.312998439 101737.3 397.581 589.356
2456772.333430026 101684.2 397.562 589.33
2456772.353861514 101682.7 397.54 589.328
2456772.374293202 101680.9 397.53 589.296
2456772.394724789 101397.2 398.024 589.65
2456772.415156477 101785.4 398.132 589.623
2456772.435587964 101784.1 398.114 589.615
2456772.456019552 101764.8 398.092 589.601
2456772.47645124 101769.4 398.061 589.578
2456772.496882727 101739.7 398.05 589.572
2456772.517314315 101770.5 398.032 589.577
2456772.537746002 101771.0 398.041 589.554
2456772.55817749 101785.4 398.031 589.559
2456772.578609078 101747.0 398.016 589.555
2456772.599040765 101776.5 398.011 589.547
2456772.619472253 101802.5 397.992 589.525
2456772.639903841 101877.1 397.903 589.561
