Dates Flux Xpos Ypos
2456768.962217216 51281.96 223.095 315.416
2456768.982648807 51541.68 223.173 315.374
2456769.003080397 51611.23 223.175 315.382
2456769.023511988 51653.82 223.173 315.394
2456769.043943578 51586.87 223.184 315.378
2456769.064375169 51736.93 223.191 315.397
2456769.084806759 51744.09 223.198 315.405
2456769.105238449 51900.85 223.214 315.415
2456769.12567004 51927.34 223.22 315.423
2456769.14610153 52040.56 223.239 315.431
2456769.16653322 52037.98 223.237 315.442
2456769.18696471 52078.23 223.247 315.44
2456769.207396301 52114.44 223.247 315.445
2456769.227827991 52151.36 223.252 315.45
2456769.248259481 52123.7 223.25 315.447
2456769.268691071 52168.91 223.253 315.449
2456769.289122761 52230.35 223.269 315.46
2456769.309554251 52274.19 223.27 315.461
2456769.329985841 52326.84 223.278 315.479
2456769.350417531 52370.43 223.301 315.474
2456769.370849021 52474.33 223.312 315.496
2456769.391280711 52449.4 223.308 315.491
2456769.4117123 52454.36 223.308 315.498
2456769.43214379 52409.02 223.305 315.486
2456769.47300707 51958.11 223.201 315.498
2456769.493438659 52465.71 223.331 315.568
2456769.513870249 52523.65 223.312 315.597
2456769.534301839 52518.18 223.308 315.597
2456769.554733428 52515.46 223.319 315.597
2456769.575165118 52521.03 223.313 315.609
2456769.595596607 52579.89 223.343 315.61
2456769.616028297 52598.93 223.338 315.619
2456769.636459887 52607.16 223.339 315.623
2456769.656891376 52609.67 223.333 315.62
2456769.677323065 52621.99 223.34 315.632
2456769.697754655 52609.68 223.348 315.616
2456769.718186144 52632.04 223.35 315.622
2456769.738617833 52566.99 223.358 315.611
2456769.759049423 52643.04 223.378 315.636
2456769.779480912 52629.8 223.366 315.639
2456769.799912601 52609.75 223.365 315.628
2456769.82034419 52668.04 223.365 315.647
2456769.84077568 52616.64 223.385 315.637
2456769.861207369 52616.73 223.384 315.647
2456769.881638858 52641.04 223.383 315.649
2456769.902070547 52622.13 223.387 315.654
2456769.922502136 52643.34 223.382 315.656
2456769.942933625 52589.64 223.406 315.65
2456769.963365314 52542.57 223.41 315.666
2456769.983796903 52544.6 223.416 315.669
2456770.004228492 52512.69 223.423 315.673
2456770.024660081 52502.65 223.42 315.683
2456770.04509167 52503.23 223.432 315.688
2456770.065523259 52446.9 223.445 315.685
2456770.085954848 52445.55 223.461 315.702
2456770.106386437 52423.13 223.458 315.714
2456770.126818025 52382.28 223.473 315.725
2456770.147249714 52325.49 223.499 315.721
2456770.167681203 52288.34 223.516 315.732
2456770.188112892 52248.21 223.513 315.745
2456770.208544481 52251.43 223.521 315.754
2456770.228975969 52238.97 223.525 315.755
2456770.249407658 52156.17 223.543 315.762
2456770.269839247 52146.38 223.553 315.779
2456770.290270735 52115.74 223.549 315.795
2456770.310702424 52054.69 223.578 315.791
2456770.331134012 52013.01 223.601 315.79
2456770.351565501 51941.48 223.602 315.811
2456770.37199719 51998.13 223.61 315.814
2456770.392428778 51964.45 223.615 315.824
2456770.412860367 51937.5 223.62 315.834
2456770.433291955 51264.54 223.133 315.433
2456770.453723543 51062.82 223.071 315.388
2456770.474155232 51118.18 223.08 315.41
2456770.494586721 51229.43 223.093 315.414
2456770.515018309 51454.92 223.166 315.366
2456770.535449897 51618.56 223.179 315.382
2456770.555881485 51641.03 223.181 315.394
2456770.576313074 51775.62 223.202 315.392
2456770.596744662 51776.06 223.201 315.405
2456770.617176251 51803.12 223.199 315.406
2456770.637607839 51813.78 223.205 315.403
2456770.658039527 51937.6 223.212 315.416
2456770.678471015 52046.28 223.23 315.426
2456770.698902604 51994.07 223.223 315.42
2456770.719334292 52002.45 223.221 315.421
2456770.73976578 52045.34 223.229 315.421
2456770.760197468 52092.66 223.229 315.432
2456770.780629057 52067.3 223.228 315.424
2456770.801060544 52081.86 223.232 315.425
2456770.821492233 52052.46 223.227 315.427
2456770.841923821 51961.63 223.212 315.418
2456770.862355309 52077.69 223.233 315.424
2456770.882786997 51991.23 223.222 315.419
2456770.903218585 52012.66 223.216 315.428
2456770.923650073 51952.47 223.217 315.416
2456770.944081761 51911.28 223.215 315.408
2456770.964513349 51888.29 223.215 315.414
2456770.984944937 51877.55 223.211 315.415
2456771.005376525 51873.27 223.214 315.417
2456771.025808113 51875.45 223.215 315.417
2456771.046239801 51956.66 223.229 315.43
2456771.066671289 51998.15 223.244 315.436
2456771.087102877 52136.87 223.268 315.461
2456771.107534565 52232.99 223.293 315.484
2456771.127966153 52272.41 223.309 315.492
2456771.148397641 52300.43 223.328 315.505
2456771.168829329 52283.73 223.324 315.504
2456771.189260917 52242.85 223.323 315.502
2456771.209692405 52210.82 223.322 315.499
2456771.230124092 52194.46 223.315 315.497
2456771.25055558 52160.57 223.306 315.494
2456771.270987168 52051.73 223.287 315.472
2456771.291418856 51967.36 223.275 315.468
2456771.311850344 51886.35 223.266 315.462
2456771.332282031 51845.09 223.259 315.452
2456771.352713619 51825.33 223.264 315.454
2456771.373145107 51846.72 223.257 315.455
2456771.393576795 51735.39 223.247 315.441
2456771.434439871 50714.66 223.03 315.324
2456771.454871558 50682.34 223.047 315.36
2456771.475303146 50699.28 223.051 315.36
2456771.495734734 50695.02 223.04 315.378
2456771.516166321 50659.42 223.048 315.385
2456771.536597909 50699.77 223.064 315.395
2456771.557029497 50699.45 223.083 315.391
2456771.577461084 50719.1 223.079 315.404
2456771.597892672 50701.42 223.062 315.399
2456771.61832436 50704.93 223.063 315.401
2456771.638755947 50735.27 223.052 315.366
2456771.659187435 50738.62 223.052 315.374
2456771.679619123 50742.86 223.065 315.353
2456771.700050711 50756.89 223.045 315.354
2456771.720482198 50809.14 223.022 315.357
2456771.740913886 50814.47 223.015 315.348
2456771.761345474 50810.95 223.013 315.36
2456771.781776961 50845.62 223.012 315.334
2456771.802208649 50845.66 223.019 315.335
2456771.822640236 50908.88 223.005 315.34
2456771.843071724 50909.95 223.006 315.333
2456771.863503412 50932.02 223.007 315.339
2456771.883934999 50979.3 223.002 315.334
2456771.904366587 51008.74 223.007 315.317
2456771.924798174 51031.85 222.987 315.322
2456771.945229762 51058.04 222.991 315.319
2456771.96566135 51079.63 222.98 315.322
2456771.986092937 51123.03 222.979 315.319
2456772.006524525 51155.49 222.975 315.295
2456772.026956113 51173.83 222.967 315.306
2456772.0473877 51202.91 222.955 315.294
2456772.067819288 51191.37 222.947 315.288
2456772.088250875 51237.16 222.94 315.283
2456772.108682463 51270.1 222.941 315.271
2456772.129114151 51245.62 222.929 315.261
2456772.149545638 51281.51 222.914 315.263
2456772.169977226 51333.25 222.895 315.249
2456772.190408913 51343.11 222.874 315.222
2456772.210840501 51316.24 222.857 315.214
2456772.231271989 51381.79 222.835 315.197
2456772.251703676 51361.46 222.838 315.193
2456772.272135264 51398.94 222.841 315.18
2456772.292566751 51355.24 222.829 315.176
2456772.312998439 51368.34 222.808 315.173
2456772.333430026 51405.27 222.791 315.145
2456772.353861514 51429.34 222.77 315.142
2456772.374293202 51386.88 222.762 315.109
2456772.394724789 52106.39 223.21 315.508
