Dates Flux Xpos Ypos
2456775.745506062 6704.032 484.429 537.241
2456775.765937753 6699.707 484.405 537.223
2456775.786369244 6696.265 484.362 537.21
2456775.806800836 6690.575 484.336 537.173
2456775.827232527 6691.192 484.296 537.145
2456775.847664118 6697.518 484.268 537.144
2456775.86809561 6712.299 484.23 537.109
2456775.888527301 6723.953 484.182 537.077
2456775.908958893 6741.175 484.143 537.061
2456775.929390384 6754.507 484.119 537.033
2456775.949822076 6766.783 484.073 537.002
2456775.970253667 6779.861 484.008 536.977
2456775.990685359 6774.787 483.967 536.947
2456776.011116851 6767.155 483.938 536.911
2456776.031548442 6757.617 483.909 536.885
2456776.051980034 6740.722 483.845 536.855
2456776.072411626 6620.973 484.315 537.166
2456776.092843218 6698.428 484.375 537.21
2456776.11327481 6693.653 484.33 537.179
2456776.133706402 6693.28 484.26 537.128
2456776.154137894 6732.713 484.192 537.091
2456776.174569586 6748.147 484.146 537.059
2456776.195001178 6771.171 484.117 537.026
2456776.21543277 6766.515 484.066 536.979
2456776.235864362 6773.398 484.018 536.963
2456776.256295955 6781.479 483.971 536.942
2456776.276727647 6781.022 483.933 536.919
2456776.297159139 6742.763 483.872 536.873
2456776.317590732 6520.282 484.648 537.37
2456776.338022424 6708.149 484.76 537.434
2456776.358454017 6711.261 484.788 537.335
2456776.378885509 6721.269 484.717 537.3
2456776.399317202 6719.272 484.686 537.274
2456776.419748794 6704.298 484.648 537.248
2456776.440180287 6718.085 484.519 537.287
2456776.46061198 6711.209 484.45 537.252
2456776.481043573 6697.676 484.417 537.221
2456776.501475265 6685.136 484.37 537.201
2456776.521906758 6693.792 484.318 537.18
2456776.542338351 6698.439 484.258 537.117
2456776.562770044 6712.331 484.214 537.092
2456776.583201537 6729.812 484.16 537.06
2456776.60363313 6752.389 484.109 537.022
2456776.624064824 6764.292 484.034 536.977
2456776.644496317 6768.353 483.987 536.949
2456776.66492791 6755.102 483.945 536.914
2456776.685359603 6740.443 483.886 536.879
2456776.705791097 6722.368 483.828 536.847
2456776.72622279 6714.656 483.781 536.817
2456776.746654383 6722.315 483.735 536.79
2456776.767085877 6722.516 483.666 536.721
2456776.78751757 6732.047 483.616 536.685
2456776.807949064 6608.248 484.212 537.116
2456776.828380657 6690.449 484.256 537.124
2456776.848812351 6718.08 484.18 537.07
2456776.869243845 6729.493 484.125 537.03
2456776.889675439 6743.909 484.07 536.991
2456776.910107133 6758.35 483.998 536.952
2456776.930538727 6755.874 483.941 536.918
2456776.950970221 6745.376 483.905 536.886
2456776.971401914 6726.018 483.851 536.86
2456776.991833509 6723.165 483.774 536.818
2456777.012265103 6709.136 483.727 536.776
2456777.032696697 6704.87 483.668 536.742
2456777.053128291 6464.806 484.483 537.257
2456777.073559985 6691.124 484.689 537.272
2456777.09399148 6680.537 484.629 537.24
2456777.114423074 6673.015 484.499 537.271
2456777.134854769 6672.567 484.424 537.226
2456777.155286264 6662.62 484.364 537.196
2456777.175717858 6662.818 484.315 537.165
2456777.196149553 6663.654 484.242 537.117
2456777.216581048 6684.931 484.173 537.063
2456777.237012742 6713.315 484.121 537.036
2456777.257444337 6721.769 484.075 536.992
2456777.277875832 6745.361 483.992 536.95
2456777.318739122 6691.324 484.723 537.299
2456777.339170717 6686.036 484.693 537.286
2456777.359602312 6664.965 484.661 537.271
2456777.380033907 6646.961 484.648 537.242
2456777.400465502 6650.539 484.622 537.224
2456777.420897098 6657.79 484.501 537.256
2456777.441328693 6645.292 484.458 537.244
2456777.461760289 6653.277 484.427 537.22
2456777.482191884 6635.884 484.38 537.208
2456777.50262348 6629.922 484.325 537.181
2456777.523055075 6637.186 484.292 537.16
2456777.543486671 6574.886 484.619 537.34
2456777.563918266 6641.188 484.808 537.341
2456777.584349962 6642.063 484.774 537.316
2456777.604781458 6655.333 484.734 537.303
2456777.625213054 6640.537 484.667 537.268
2456777.64564475 6626.505 484.645 537.234
2456777.666076246 6637.604 484.529 537.275
2456777.686507942 6644.551 484.466 537.253
2456777.706939538 6624.929 484.412 537.226
