Dates Flux Xpos Ypos
2456768.962217216 12963.32 210.666 644.503
2456768.982648807 12968.12 210.718 644.485
2456769.003080397 12976.8 210.721 644.493
2456769.023511988 12974.54 210.718 644.504
2456769.043943578 12980.0 210.731 644.489
2456769.064375169 12981.28 210.739 644.507
2456769.084806759 12992.19 210.746 644.515
2456769.105238449 13007.31 210.764 644.526
2456769.12567004 13029.71 210.771 644.533
2456769.14610153 13056.15 210.793 644.54
2456769.16653322 13075.45 210.792 644.551
2456769.18696471 13083.82 210.803 644.549
2456769.207396301 13087.63 210.803 644.554
2456769.227827991 13106.1 210.809 644.559
2456769.248259481 13114.74 210.807 644.557
2456769.268691071 13110.89 210.81 644.558
2456769.289122761 13124.03 210.828 644.569
2456769.309554251 13123.74 210.829 644.57
2456769.329985841 13167.12 210.839 644.589
2456769.350417531 13168.53 210.865 644.585
2456769.370849021 13196.39 210.878 644.607
2456769.391280711 13197.91 210.873 644.602
2456769.4117123 13210.75 210.874 644.608
2456769.43214379 13202.32 210.87 644.597
2456769.47300707 13083.36 210.787 644.582
2456769.493438659 13315.26 210.928 644.659
2456769.513870249 13319.9 210.91 644.685
2456769.534301839 13316.32 210.905 644.684
2456769.554733428 13305.03 210.917 644.685
2456769.575165118 13332.86 210.911 644.696
2456769.595596607 13349.49 210.943 644.699
2456769.616028297 13359.03 210.938 644.707
2456769.636459887 13371.27 210.939 644.711
2456769.656891376 13350.87 210.934 644.708
2456769.677323065 13367.28 210.94 644.72
2456769.697754655 13358.78 210.948 644.705
2456769.718186144 13368.44 210.951 644.711
2456769.738617833 13362.54 210.959 644.701
2456769.759049423 13375.82 210.98 644.726
2456769.779480912 13388.22 210.969 644.728
2456769.799912601 13363.19 210.967 644.718
2456769.82034419 13376.99 210.968 644.736
2456769.84077568 13396.3 210.988 644.728
2456769.861207369 13414.17 210.987 644.738
2456769.881638858 13409.56 210.986 644.739
2456769.902070547 13399.41 210.991 644.745
2456769.922502136 13381.27 210.985 644.742
2456769.942933625 13399.06 211.01 644.742
2456769.963365314 13377.47 211.014 644.754
2456769.983796903 13412.65 211.02 644.758
2456770.004228492 13404.41 211.027 644.762
2456770.024660081 13366.06 211.025 644.771
2456770.04509167 13400.35 211.037 644.777
2456770.065523259 13402.14 211.05 644.775
2456770.085954848 13420.8 211.066 644.792
2456770.106386437 13421.83 211.064 644.804
2456770.126818025 13427.8 211.08 644.815
2456770.147249714 13430.02 211.105 644.813
2456770.167681203 13421.12 211.123 644.825
2456770.188112892 13402.38 211.12 644.837
2456770.208544481 13413.52 211.128 644.846
2456770.228975969 13389.17 211.132 644.848
2456770.249407658 13377.35 211.151 644.856
2456770.269839247 13379.43 211.161 644.872
2456770.290270735 13355.08 211.158 644.888
2456770.310702424 13322.42 211.186 644.886
2456770.331134012 13334.5 211.208 644.886
2456770.351565501 13336.33 211.21 644.907
2456770.37199719 13289.33 211.218 644.91
2456770.392428778 13248.23 211.224 644.92
2456770.412860367 13211.18 211.229 644.93
2456770.433291955 12852.02 210.704 644.518
2456770.453723543 12937.5 210.637 644.474
2456770.474155232 12906.95 210.648 644.496
2456770.494586721 12888.7 210.663 644.5
2456770.515018309 12872.13 210.71 644.477
2456770.535449897 12841.82 210.724 644.493
2456770.555881485 12838.85 210.729 644.505
2456770.576313074 12835.96 210.752 644.502
2456770.596744662 12843.15 210.749 644.515
2456770.617176251 12839.47 210.747 644.516
2456770.637607839 12820.51 210.753 644.513
2456770.658039527 12850.15 210.762 644.526
2456770.678471015 12865.07 210.782 644.535
2456770.698902604 12837.35 210.775 644.53
2456770.719334292 12838.73 210.773 644.53
2456770.73976578 12840.61 210.781 644.531
2456770.760197468 12859.19 210.782 644.541
2456770.780629057 12853.24 210.78 644.534
2456770.801060544 12845.62 210.785 644.534
2456770.821492233 12842.57 210.78 644.536
2456770.841923821 12820.29 210.763 644.528
2456770.862355309 12832.43 210.786 644.534
2456770.882786997 12838.58 210.774 644.529
2456770.903218585 12846.28 210.767 644.538
2456770.923650073 12835.32 210.768 644.526
2456770.944081761 12826.13 210.766 644.518
2456770.964513349 12841.04 210.765 644.524
2456770.984944937 12833.62 210.761 644.525
2456771.005376525 12839.75 210.764 644.527
2456771.025808113 12848.43 210.765 644.527
2456771.046239801 12870.53 210.781 644.54
2456771.066671289 12901.54 210.799 644.545
2456771.087102877 12926.75 210.827 644.57
2456771.107534565 12972.8 210.856 644.594
2456771.127966153 12986.15 210.875 644.603
2456771.148397641 12998.23 210.895 644.618
2456771.168829329 13011.29 210.891 644.616
2456771.189260917 13017.35 210.89 644.614
2456771.209692405 13018.97 210.888 644.611
2456771.230124092 13024.02 210.881 644.608
2456771.25055558 13026.64 210.871 644.605
2456771.270987168 13019.32 210.849 644.582
2456771.291418856 12990.42 210.835 644.577
2456771.311850344 13019.21 210.825 644.571
2456771.332282031 12990.46 210.817 644.562
2456771.352713619 12984.46 210.822 644.563
2456771.373145107 13007.57 210.815 644.564
2456771.393576795 12998.97 210.803 644.551
2456771.434439871 13014.98 210.589 644.409
2456771.454871558 13015.84 210.609 644.446
2456771.475303146 13020.3 210.613 644.445
2456771.495734734 13034.68 210.602 644.462
2456771.516166321 13028.93 210.611 644.469
2456771.536597909 13040.04 210.63 644.481
2456771.557029497 13025.88 210.651 644.478
2456771.577461084 13029.28 210.647 644.49
2456771.597892672 13023.58 210.628 644.484
2456771.61832436 13054.18 210.628 644.486
2456771.638755947 13071.15 210.616 644.451
2456771.659187435 13070.63 210.615 644.46
2456771.679619123 13080.44 210.628 644.439
2456771.700050711 13097.25 210.606 644.439
2456771.720482198 13098.2 210.58 644.44
2456771.740913886 13093.72 210.572 644.43
2456771.761345474 13093.59 210.57 644.442
2456771.781776961 13105.33 210.57 644.417
2456771.802208649 13085.71 210.576 644.418
2456771.822640236 13107.97 210.561 644.422
2456771.843071724 13100.56 210.562 644.415
2456771.863503412 13109.98 210.563 644.421
